feature_1,feature_2,correlation
python,data_engineering,0.1288205881735159
r,data_engineering,-0.11863196174090719
sql,data_engineering,0.05910966678741305
azure,data_engineering,0.08645767589659893
docker,data_engineering,0.1493950772167604
aws,data_engineering,0.3486743669476759
excel,data_engineering,-0.08950628333547687
machine_learning,data_engineering,-0.017988764907029137
tableau,data_engineering,-0.060033330241429525
power_bi,data_engineering,-0.004618431204143974
statistics,data_engineering,-0.09538782502814847
data_science,data_engineering,0.04447908433697431
data_engineering,data_engineering,1.0
computer_science,data_engineering,0.04143872364716955
mathematics,data_engineering,-0.05517883601129216
python,computer_science,0.16772533510945564
r,computer_science,0.04926445512880084
sql,computer_science,0.045330005565848534
azure,computer_science,0.05104021102601609
docker,computer_science,-0.08064364782687972
aws,computer_science,-0.0017330457492110022
excel,computer_science,-0.11697208783117664
machine_learning,computer_science,0.15527018536696632
tableau,computer_science,0.05640666071981293
power_bi,computer_science,0.0644365800766917
statistics,computer_science,0.1795570618433124
data_science,computer_science,0.10887962790248985
data_engineering,computer_science,0.04143872364716955
computer_science,computer_science,1.0
mathematics,computer_science,0.29635145017190206
python,mathematics,0.18875722273312645
r,mathematics,0.14511929759228084
sql,mathematics,0.08745911101858012
azure,mathematics,-0.13626754025008755
docker,mathematics,0.043054591218738635
aws,mathematics,-0.03303472977773886
excel,mathematics,-0.0029809650002252976
machine_learning,mathematics,0.20040034176387148
tableau,mathematics,0.11468464983720408
power_bi,mathematics,0.025075325202039755
statistics,mathematics,0.34799164963903384
data_science,mathematics,0.14016289342008584
data_engineering,mathematics,-0.05517883601129216
computer_science,mathematics,0.29635145017190206
mathematics,mathematics,1.0
